name,url,region,category,platform
Fox8,https://www.facebook.com/fox8nolaweather/,NOLA,504-486-6161,Facebook
Bruce Katz,https://www.facebook.com/BruceKatzOnWvue,NOLA,504-486-6161,Facebook
Amber Wheeler,https://www.facebook.com/MeteorologistAmberWheeler/,NOLA,504-486-6161,Facebook
Nicondra Norwood,https://www.facebook.com/NicondraNorwoodWvue,NOLA,504-486-6161,Facebook
Zack Fradella,https://www.facebook.com/zackfradellawx,NOLA,504-486-6161,Facebook
NBC 6,https://www.facebook.com/wdsutv/,NOLA,Main: 504-679-0600,Facebook
Scot Pilie',https://www.facebook.com/ScotPilieWx,NOLA,News: 504-679-0607,Facebook
Derek Sibley,https://www.facebook.com/DerekWDSU,NOLA,News: 504-679-0607,Facebook
Chris Franklin,https://www.facebook.com/MeteorologistChrisFranklin/,NOLA,News: 504-529-6298,Facebook
Payton Malone,https://www.facebook.com/paytonmalonewx/,NOLA,News: 504-529-6298,Facebook
Alexa Trischler,https://www.facebook.com/p/Alexa-Trischler-100094214910913/,NOLA,News: 504-529-6298,Facebook
Brooke Laizer,https://www.facebook.com/profile.php?id=61565091820058,NOLA,News: 504-529-6298,Facebook
Hank Allen,https://www.facebook.com/hankallenwx/,NOLA,News: 504-619-6363,Facebook
Carrigan Chauvin,https://www.facebook.com/MeteorologistCarriganChauvin,NOLA,News: 504-619-6363,Facebook
Hank Allen,https://www.facebook.com/HTV10,NOLA,HTV (Houma TV),Facebook
Hank Allen,https://www.facebook.com/houmatoday,NOLA,Houma Today,Facebook
jeachus@wbrz.com,https://www.facebook.com/MeteorologistJoshEachus/,Baton Rouge,Weather 225-33-2302,Facebook
brogers@wbrz.com,https://www.facebook.com/mbyronwx,Baton Rouge,Weather 225-33-2302,Facebook
brogers@wbrz.com,https://www.facebook.com/profile.php?id=100095282754215,Baton Rouge,Weather 225-33-2302,Facebook
Dave Baker,https://www.facebook.com/MeteorologistDaveBaker,Baton Rouge,Weather 225-33-2302,Facebook
Steve.Caparotta@wafb.com,https://www.facebook.com/stevecaparottachannel9,Baton Rouge,News 225-215-4801,Facebook
jeff.morrow@wafb.com,https://www.facebook.com/JeffMorrowChannel9/,Baton Rouge,News 225-215-4801,Facebook
jeff.morrow@wafb.com,https://www.facebook.com/profile.php?id=100086504551444,Baton Rouge,News 225-215-4801,Facebook
Henry.Blakes@wafb.com,https://www.facebook.com/HenryBlakesWX,Baton Rouge,News 225-215-4801,Facebook
anoel@louisianafirstnews.com,https://www.facebook.com/AlexNoelWx,Baton Rouge,News 225-768-9109,Facebook
ARenee@brproud.com,https://www.facebook.com/AshleyReneeWx,Baton Rouge,News 225-768-9109,Facebook
Taylor Hunn,https://www.facebook.com/taylor.hunn.3,Baton Rouge,News 225-768-9109,Facebook
Eric Jeansonne,https://www.facebook.com/MeteorologistEricJeansonne/,Biloxi/Mobile,228-896-2563,Facebook
Wesley Williams,https://www.facebook.com/WeatherWes/,Biloxi/Mobile,228-896-2563,Facebook
Taylor Graham,https://www.facebook.com/TaylorGrahamWX/,Biloxi/Mobile,228-896-2563,Facebook
Aaron Colby,https://www.facebook.com/profile.php?id=61555434892945,Biloxi/Mobile,228-896-2563,Facebook
Ed Bloodsworth,https://www.facebook.com/WKRGEd/,Biloxi/Mobile,228-896-2563,Facebook
John Nodar,https://www.facebook.com/WKRG.John.Nodar/,Biloxi/Mobile,228-896-2563,Facebook
Caroline Carithers,https://www.facebook.com/WKRG.Caroline.Carithers/,Biloxi/Mobile,228-896-2563,Facebook
Patrick Bigbie,https://www.facebook.com/PatrickWDAM,Biloxi/Mobile,WDAM,Facebook
Entergy Louisiana,https://www.facebook.com/EntergyLA,Other,Entergy Louisiana,Facebook
Demco (Dixie Electric),https://www.facebook.com/DEMCOLouisiana/,Other,Demco (Dixie Electric),Facebook
Pointe Coupee Electric,https://www.facebook.com/PointeCoupeeElectric/,Other,Pointe Coupee Electric,Facebook
West St Tammany Electric,https://www.facebook.com/WSTElectricCoop/,Other,West St Tammany Electric,Facebook
Cleco,https://www.facebook.com/ClecoPower/,Other,Cleco,Facebook
Magnoila Electric,https://www.facebook.com/MagnoliaEPA,Other,Magnoila Electric,Facebook
Chad's Track the Tropics,https://www.facebook.com/TrackTheTropics,Other,Chad's Track the Tropics,Facebook
Southeast Storm Spotters,https://www.facebook.com/SELAWX,Other,Southeast Storm Spotters,Facebook
St Helena Sheriff,https://www.facebook.com/sthelenasheriff,Other,St Helena Sheriff,Facebook
Central Fire Department,https://www.facebook.com/centralfire,Other,Central Fire Department,Facebook
Iberville Parish Govt,https://www.facebook.com/IbervilleGov,Other,Iberville Parish Govt,Facebook
Livingston Parish Sherrif,https://www.facebook.com/livingstonparishsheriffsoffice,Other,Livingston Parish Sherrif,Facebook
Town of Livingston PD,https://www.facebook.com/TownofLivingstonPD,Other,Town of Livingston PD,Facebook
Livingston Parish Rants/raves,https://www.facebook.com/groups/336605916515289/,Other,Livingston Parish Rants/raves,Facebook
Zachary Police Dept,https://www.facebook.com/zacharypd,Other,Zachary Police Dept,Facebook
Baker Police Dept,https://www.facebook.com/BigChiefCarlK,Other,Baker Police Dept,Facebook
Pride Fire Dept,https://www.facebook.com/pridefire,Other,Pride Fire Dept,Facebook
St Tammany Sheriff,https://www.facebook.com/stpso,Other,St Tammany Sheriff,Facebook
St Tammany Parish Govt,https://www.facebook.com/sttammanyparish,Other,St Tammany Parish Govt,Facebook
Mandeville Police Dept,https://www.facebook.com/mandevillepolicedepartment,Other,Mandeville Police Dept,Facebook
